ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC,G_I_CNA,G_C_CNA,G_I_NVD,G_C_NVD,Odds_Ratio,Num_CNA_Groups,Mean_CNA_Entropy,Num_NVD_Groups,Mean_NVD_Entropy,Equal_Severity,CNA_Higher,NVD_Higher,CNA_Critical,NVD_Critical,Role,Vendor,Open Source,Researcher,Bug Bounty Provider,Hosted Service,CERT,Consortium,Country
ABB,169,126,68,1,14,0.1111,17,0.1349,15,0.119,15,0.119,21,0.1667,17,0.1349,23,0.1825,24,0.1905,3,1,2,2,3,4,0.8278,4,0.75,90,12,24,4,8,CNA,1,0,0,0,0,0,0,Swizerland
Zoom,145,123,104,2,9,0.0732,25,0.2033,20,0.1626,35,0.2846,49,0.3984,23,0.187,28,0.2276,34,0.2764,3,8,1,10,3.75,11,0.2653,11,0.1441,81,14,28,1,4,CNA,1,0,0,0,0,0,0,USA
SUSE,138,120,80,1,8,0.0667,15,0.125,49,0.4083,10,0.0833,12,0.1,11,0.0917,22,0.1833,39,0.325,,,,,,,,,,86,9,25,3,7,CNA,1,1,1,0,0,0,0,USA
Progress,113,99,58,1,3,0.0303,22,0.2222,18,0.1818,8,0.0808,24,0.2424,20,0.202,19,0.1919,20,0.202,0,2,1,1,0,2,0,2,0.5,64,26,9,9,5,CNA,1,0,0,0,0,0,0,USA
Splunk,109,98,53,1,3,0.0306,19,0.1939,13,0.1327,5,0.051,17,0.1735,11,0.1122,17,0.1735,17,0.1735,0,1,1,0,0,1,0,1,1,73,16,9,0,3,CNA,1,0,0,0,0,0,0,USA
OpenHarmony,97,94,84,2,8,0.0851,13,0.1383,48,0.5106,3,0.0319,27,0.2872,20,0.2128,35,0.3723,52,0.5532,3,10,2,11,1.65,13,0.2308,13,0.1538,45,5,44,0,5,CNA,0,1,0,0,0,0,0,China
Huntress Labs,94,93,77,2,3,0.0323,13,0.1398,22,0.2366,20,0.2151,29,0.3118,33,0.3548,32,0.3441,38,0.4086,3,1,3,1,1,4,0.8962,4,0.7028,52,18,23,3,14,CNA,1,0,1,0,0,0,0,USA
Fluid Attacks,174,92,41,0,0,0,9,0.0978,18,0.1957,8,0.087,18,0.1957,14,0.1522,13,0.1413,9,0.0978,0,2,1,1,0,2,0,2,0.5,71,17,4,14,1,CNA,0,0,1,0,0,0,0,Colombia
Zephyr Project,96,91,88,2,27,0.2967,32,0.3516,17,0.1868,8,0.0879,34,0.3736,43,0.4725,41,0.4505,25,0.2747,0,1,0,1,0,1,0,1,0,45,13,33,3,14,CNA,1,1,0,0,0,0,0,USA
TIBCO,96,90,66,1,4,0.0444,11,0.1222,7,0.0778,7,0.0778,41,0.4556,24,0.2667,25,0.2778,19,0.2111,,,,,,,,,,54,24,12,7,6,CNA,1,0,0,0,0,0,0,USA
Nozomi,144,89,69,1,1,0.0112,5,0.0562,4,0.0449,6,0.0674,12,0.1348,34,0.382,9,0.1011,52,0.5843,1,0,0,1,inf,1,0.971,1,0,39,4,46,1,1,CNA,1,0,1,0,0,0,0,USA
OpenText,123,89,74,3,19,0.2135,34,0.382,40,0.4494,27,0.3034,30,0.3371,27,0.3034,32,0.3596,26,0.2921,2,0,2,0,,2,1,2,1,43,12,34,1,14,CNA,1,0,0,0,0,0,0,USA
Robert Bosch,91,88,59,1,10,0.1136,17,0.1932,10,0.1136,8,0.0909,15,0.1705,14,0.1591,15,0.1705,20,0.2273,0,3,0,3,0,3,0,3,0,57,11,20,4,11,CNA,1,0,0,0,0,0,0,Germany
Rapid7,93,81,66,2,9,0.1111,8,0.0988,17,0.2099,10,0.1235,28,0.3457,25,0.3086,25,0.3086,28,0.3457,0,1,0,1,0,1,0,1,0,46,6,29,1,5,CNA,1,1,1,0,0,0,0,USA
Bitdefender,85,74,59,2,19,0.2568,21,0.2838,14,0.1892,12,0.1622,33,0.4459,14,0.1892,17,0.2297,13,0.1757,,,,,,,,,,43,8,23,4,10,CNA,1,0,1,0,0,0,0,Romania
Zyxel,119,72,22,0,4,0.0556,5,0.0694,6,0.0833,5,0.0694,2,0.0278,5,0.0694,9,0.125,5,0.0694,,,,,,,,,,62,0,10,0,4,CNA,1,0,0,0,0,0,0,Taiwan
Apache,85,72,55,1,0,0,19,0.2639,16,0.2222,9,0.125,24,0.3333,13,0.1806,16,0.2222,18,0.25,1,0,0,1,inf,1,1,1,0,48,6,18,2,7,CNA,1,1,0,0,0,0,0,USA
VMware,136,68,39,1,0,0,11,0.1618,10,0.1471,4,0.0588,7,0.1029,9,0.1324,8,0.1176,17,0.25,0,1,0,1,0,1,0,1,0,44,5,19,2,5,CNA,1,1,0,0,0,0,0,USA
Hitachi Energy,79,68,44,1,6,0.0882,20,0.2941,12,0.1765,7,0.1029,27,0.3971,11,0.1618,10,0.1471,12,0.1765,1,0,1,0,,1,1,1,1,40,9,19,5,6,CNA,1,0,0,0,0,0,0,Switzerland
Ivanti,89,67,28,0,1,0.0149,0,0,0,0,5,0.0746,17,0.2537,7,0.1045,5,0.0746,9,0.1343,0,6,0,6,0,6,0,6,0,51,8,8,7,5,CNA,1,0,0,0,0,0,0,USA
Liferay,65,65,39,1,0,0,2,0.0308,12,0.1846,3,0.0462,3,0.0462,24,0.3692,26,0.4,24,0.3692,,,,,,,,,,35,23,7,23,0,CNA,1,0,0,0,0,0,0,USA
Rockwell Automation,77,64,34,1,6,0.0938,7,0.1094,6,0.0938,10,0.1562,16,0.25,9,0.1406,8,0.125,8,0.125,0,3,2,1,0,3,0,3,0.6394,51,5,8,1,6,CNA,1,0,0,0,0,0,0,USA
OTRS,70,62,52,1,4,0.0645,7,0.1129,20,0.3226,29,0.4677,14,0.2258,9,0.1452,13,0.2097,6,0.0968,,,,,,,,,,31,1,30,0,3,CNA,1,0,0,0,0,0,0,Germany
ESRI,65,59,13,0,0,0,0,0,9,0.1525,0,0,4,0.0678,3,0.0508,4,0.0678,3,0.0508,2,1,1,2,4,3,0.6038,3,0.3333,55,2,2,0,1,CNA,1,0,0,0,0,0,0,USA
Mend.io,73,58,9,0,1,0.0172,0,0,4,0.069,4,0.069,0,0,2,0.0345,2,0.0345,2,0.0345,,,,,,,,,,54,0,4,0,1,,,,,,,,,
Kubernetes,61,56,35,1,1,0.0179,13,0.2321,10,0.1786,3,0.0536,4,0.0714,3,0.0536,12,0.2143,14,0.25,0,1,0,1,0,1,0,1,0,48,2,6,0,0,CNA,1,1,0,0,0,0,0,USA
MongoDB,63,54,29,1,5,0.0926,13,0.2407,8,0.1481,15,0.2778,4,0.0741,6,0.1111,7,0.1296,5,0.0926,,,,,,,,,,42,1,11,0,1,CNA,1,1,0,0,0,0,0,USA
Checkmk,55,54,36,1,2,0.037,5,0.0926,3,0.0556,1,0.0185,17,0.3148,9,0.1667,9,0.1667,11,0.2037,,,,,,,,,,41,4,9,1,2,CNA,1,1,0,0,0,0,0,Germany
NCSC,61,53,37,1,6,0.1132,3,0.0566,2,0.0377,7,0.1321,7,0.1321,16,0.3019,12,0.2264,15,0.283,,,,,,,,,,30,7,16,1,7,CNA,0,0,0,0,0,1,0,Switzerland
Johnson Controls,57,51,39,2,9,0.1765,13,0.2549,1,0.0196,5,0.098,17,0.3333,19,0.3725,14,0.2745,19,0.3725,,,,,,,,,,26,11,14,3,8,CNA,1,0,0,0,0,0,0,USA
PHP,55,49,38,1,3,0.0612,16,0.3265,5,0.102,11,0.2245,3,0.0612,14,0.2857,6,0.1224,14,0.2857,0,1,0,1,0,1,0,1,0,30,2,17,0,7,CNA,1,1,0,0,0,0,0,USA
Open-Xchange,61,46,20,0,8,0.1739,8,0.1739,10,0.2174,1,0.0217,14,0.3043,2,0.0435,3,0.0652,6,0.1304,,,,,,,,,,37,2,7,0,2,CNA,1,1,0,0,0,0,0,Germany
Mitsubishi Electric,63,46,27,1,2,0.0435,15,0.3261,5,0.1087,1,0.0217,12,0.2609,6,0.1304,3,0.0652,5,0.1087,0,1,0,1,0,1,0,1,0,26,4,16,3,3,CNA,1,0,0,0,0,0,0,Japan
F-Secure,46,46,44,4,8,0.1739,5,0.1087,38,0.8261,24,0.5217,4,0.087,35,0.7609,25,0.5435,34,0.7391,,,,,,,,,,23,0,23,0,1,,,,,,,,,
ASRG,50,45,21,0,3,0.0667,7,0.1556,2,0.0444,3,0.0667,10,0.2222,6,0.1333,6,0.1333,6,0.1333,,,,,,,,,,32,7,6,5,2,CNA,0,0,1,0,0,0,0,USA
Cloudflare,46,43,34,2,8,0.186,20,0.4651,12,0.2791,12,0.2791,12,0.2791,10,0.2326,8,0.186,10,0.2326,,,,,,,,,,23,2,18,0,2,CNA,1,0,0,0,0,0,0,USA
